"id","name","start_year","start_date","end_date","is_current","created_at"
"ac7d0895-0432-474b-8d64-57dbe3c604a0","Summer 2025",2025,"2025-01-01","2025-12-31",false,"2026-04-07T20:26:18.017295+00:00"
"fc9a38eb-bcfe-4b9c-945b-44868c6ed590","Summer 2026",2026,"2026-01-01","2026-12-31",true,"2026-04-07T20:26:18.017295+00:00"
