"id","user_id","season","created_at"
2,"38f186b2-b4fd-4ee3-8ee2-9a505ad593ae","2024/25","2025-10-28T12:07:35.436602+00:00"
3,"38f186b2-b4fd-4ee3-8ee2-9a505ad593ae","2025","2025-10-30T13:20:59.603321+00:00"
7,"cb0d5d7f-2c36-4ca5-bf49-7bbcfef0fbce","2025","2025-10-30T13:49:05.791179+00:00"
8,"95c236e4-720c-4579-9ee6-2c4c71da5ccf","2025","2025-10-30T13:49:05.865643+00:00"
9,"94437571-2e53-4396-8df9-da797d06ec5a","2025","2025-10-30T13:49:52.62051+00:00"
10,"dfcf2814-1e8c-467f-868a-b35834d97b8e","2025","2025-10-30T13:49:52.680884+00:00"
11,"1187b5ff-a2f3-4ac2-bd4a-3f3e3f058034","2025","2025-10-30T13:51:15.82106+00:00"
12,"34cb0125-3a8d-414c-9817-cc35f92ae9a4","2025","2025-10-30T13:51:15.915947+00:00"
13,"d5a82cca-e820-4d41-a361-035b2d2ab9df","2025","2025-10-30T13:51:15.986595+00:00"
4,"8532ae37-4d5e-4c2f-a80a-729d51ad2e9e","2025","2025-10-30T13:23:15.614774+00:00"
6,"3c810f61-259c-4b29-b85e-df895be03c23","2025","2025-10-30T13:35:26.041252+00:00"
5,"b6f2ce70-b0a1-480f-9e31-20b8359c3ad3","2025","2025-10-30T13:26:07.37768+00:00"
23,"33f57864-26d5-4c1f-bf0b-0638b775a1dd","2025","2025-11-05T16:48:06.923865+00:00"
24,"9f74607a-b13a-492b-8ec7-a65d031f2a7d","2025","2025-11-05T16:48:06.923865+00:00"
25,"d6dc5615-86e5-414b-a702-d951a7982956","2025","2025-11-05T16:48:06.923865+00:00"
26,"3e4f8715-38d2-4163-aa94-173c73b8f656","2025","2025-11-05T16:48:06.923865+00:00"
27,"a825e186-7393-4b7d-a62c-aa2aab9e8547","2025","2025-11-05T16:48:06.923865+00:00"
28,"b9477000-cf1d-4395-bb5e-59cc972d8430","2025","2025-11-05T16:48:06.923865+00:00"
29,"6910dacb-d2e4-4ddf-9c4a-e7b8943b58e9","2025","2025-11-05T16:51:59.344722+00:00"
30,"189490f0-4925-44f4-99c3-1cdfde41ed64","2025","2025-11-05T16:53:36.022371+00:00"
31,"7f5a3d7b-412d-4d5f-95a4-fecf12971f60","2025","2025-12-10T16:36:48.960895+00:00"
